Instance,number of images,number of interruptions, computation time
0,4,3,0.005457401275634766
1,4,2,0.0054552555084228516
2,6,3,0.0049839019775390625
3,6,4,0.004366397857666016
4,5,2,0.0034449100494384766
5,4,2,0.003496408462524414
6,25,10,0.007907629013061523
7,4,2,0.0029754638671875
8,25,10,0.07889795303344727
9,3,5,0.0024797916412353516
10,25,10,69.24808883666992
11,25,25,0.0763864517211914
12,5,4,0.007970094680786133
13,5,3,0.005454540252685547
14,5,3,0.003796100616455078
15,1,35,0.0035071372985839844
16,20,20,0.012630462646484375
17,6,7,0.008924484252929688
18,6,4,0.006447553634643555
19,20,5,2.7731339931488037
20,20,5,12.501190900802612
21,20,5,37.719834089279175
22,20,5,3.131251335144043
23,20,5,9.147915601730347
24,20,5,22.367308378219604
25,20,5,6.910310983657837
26,20,5,28.464991807937622
27,20,5,9.380819320678711
28,20,5,3.641103982925415
29,20,5,2.947200059890747
30,20,5,14.14344835281372
31,20,5,3.9362285137176514
32,20,5,2.248354911804199
33,20,5,41.59756588935852
34,20,5,9.752350330352783
35,20,5,15.949404954910278
36,20,5,4.284911394119263
37,20,5,58.017690896987915
38,20,5,0.790130615234375
39,20,5,55.834320306777954
40,20,5,29.92915916442871
41,20,5,1.002910852432251
42,20,5,1.2573606967926025
43,20,5,29.80997943878174
44,20,5,7.942485332489014
45,20,5,22.477774620056152
46,5,3,0.0029692649841308594
47,4,3,0.0024428367614746094
48,3,4,0.0034723281860351562
49,20,10,0.3457155227661133
50,5,5,0.0034720897674560547
51,5,5,0.00697016716003418
52,4,5,0.002513408660888672
53,7,5,0.009953975677490234
54,6,3,0.005494356155395508
55,8,3,0.008956432342529297
56,10,6,0.006478548049926758
57,5,4,0.004449129104614258
58,4,4,0.002971649169921875
59,3,2,0.0029942989349365234
60,5,5,0.0035033226013183594
61,8,5,0.003950595855712891
62,5,5,0.005981922149658203
63,4,2,0.003999233245849609
64,5,3,0.0024781227111816406
65,10,6,0.003471851348876953
66,6,5,0.007442951202392578
